MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MBER_SEXDSTN_FLAG_CD
"2","KSPO송파","성인","일반","22","관리자","참가","20241101","F"
"2","미추홀","성인","일반","38","관리자","2등급","20241101","M"
"1","안산","어르신","일반","65","관리자","1등급","20241101","M"
"1","오산","성인","일반","49","관리자","3등급","20241101","F"
"2","안동","청소년","출장","14","관리자","참가","20241101","M"
"15","창원","어르신","출장","80","관리자","2등급","20241101","M"
"1","안동","청소년","출장","13","관리자","3등급","20241101","M"
"1","세종","청소년","일반","18","관리자","참가","20241101","M"
"2","안동","청소년","출장","13","관리자","3등급","20241101","M"
"1","양평","성인","일반","51","관리자","1등급","20241101","F"
"2","안동","청소년","출장","13","관리자","참가","20241101","M"
"2","KSPO송파","성인","일반","21","관리자","참가","20241101","M"
"1","태백","청소년","일반","18","관리자","3등급","20241101","M"
"1","충주","어르신","출장","68","관리자","참가","20241101","F"
"1","남원","청소년","일반","18","관리자","참가","20241101","M"
"1","충주","어르신","출장","78","관리자","1등급","20241101","M"
"1","서구(광주)","유아기","출장","77","관리자","참가","20241101","F"
"1","서구(광주)","유아기","출장","81","관리자","3등급","20241101","M"
"1","서구(광주)","유아기","출장","80","관리자","3등급","20241101","F"
"1","나주","어르신","출장","86","관리자","참가","20241101","F"
"1","충주","어르신","출장","75","관리자","3등급","20241101","M"
"1","충주","어르신","출장","68","관리자","참가","20241101","F"
"1","충주","어르신","출장","73","관리자","참가","20241101","F"
"1","광주","성인","일반","27","관리자","참가","20241101","M"
"1","충주","어르신","출장","75","관리자","2등급","20241101","F"
"3","KSPO송파별관(어르신)","어르신","일반","65","관리자","2등급","20241101","M"
"1","KSPO송파(출장A)","성인","출장","29","관리자","참가","20241101","F"
"1","오산","성인","일반","46","관리자","참가","20241101","M"
"1","남원","청소년","일반","16","관리자","3등급","20241101","F"
"1","충주","어르신","출장","71","관리자","참가","20241101","F"
"1","서구(광주)","유아기","출장","71","관리자","참가","20241101","M"
"3","동구(부산)","성인","일반","34","관리자","3등급","20241101","M"
"1","남원","청소년","일반","18","관리자","3등급","20241101","M"
"1","서구(광주)","유아기","출장","77","관리자","참가","20241101","F"
"1","서구(광주)","유아기","출장","75","관리자","참가","20241101","M"
"1","서구(광주)","유아기","출장","74","관리자","참가","20241101","F"
"1","창원","어르신","출장","75","관리자","3등급","20241101","M"
"1","창원","어르신","출장","73","관리자","3등급","20241101","M"
"1","경산","어르신","일반","73","관리자","참가","20241101","M"
"1","남원","청소년","일반","18","관리자","3등급","20241101","M"
"1","서구(광주)","유아기","출장","75","관리자","참가","20241101","F"
"2","동작","성인","일반","60","관리자","3등급","20241101","F"
"1","김천","어르신","출장","74","관리자","참가","20241101","F"
"1","KSPO송파(출장A)","성인","출장","43","관리자","참가","20241101","M"
"1","KSPO송파(출장A)","성인","출장","48","관리자","2등급","20241101","M"
"1","KSPO송파(출장A)","성인","출장","50","관리자","2등급","20241101","M"
"1","사하","성인","출장","23","관리자","참가","20241101","F"
"1","서구(광주)","유아기","출장","76","관리자","참가","20241101","M"
