MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MBER_SEXDSTN_FLAG_CD
"1","KSPO광주","성인","일반","19","관리자","참가","20250201","M"
"3","KSPO아산","성인","일반","41","관리자","1등급","20250201","F"
"2","구미","성인","일반","40","관리자","참가","20250201","M"
"6","동해","성인","일반","25","관리자","2등급","20250201","F"
"3","KSPO송파","성인","일반","28","관리자","1등급","20250201","M"
"1","연제","어르신","일반","65","관리자","3등급","20250201","M"
"6","남원","성인","일반","20","관리자","3등급","20250201","M"
"6","남구(부산)","성인","일반","55","관리자","2등급","20250201","F"
"2","KSPO광주","성인","일반","28","관리자","1등급","20250201","F"
"1","남구(부산)","성인","일반","19","관리자","참가","20250201","M"
"2","KSPO송파","성인","일반","26","관리자","1등급","20250201","F"
"3","KSPO송파","성인","일반","62","관리자","3등급","20250201","M"
"19","남구(부산)","성인","일반","55","관리자","참가","20250201","F"
"4","KSPO광주","성인","일반","20","관리자","참가","20250201","M"
"1","KSPO대구","성인","일반","27","관리자","2등급","20250201","F"
"1","KSPO대구","성인","일반","22","관리자","참가","20250201","M"
"4","연제","성인","일반","20","관리자","3등급","20250201","M"
"3","KSPO아산","성인","일반","19","관리자","1등급","20250201","M"
"16","남구(부산)","성인","일반","36","관리자","3등급","20250201","F"
"4","KSPO아산","어르신","일반","67","관리자","3등급","20250201","M"
"1","천안","성인","일반","28","관리자","참가","20250201","F"
"1","동해","어르신","일반","71","관리자","참가","20250201","F"
"1","천안","성인","일반","19","관리자","참가","20250201","M"
"1","KSPO아산","어르신","일반","70","관리자","2등급","20250201","M"
"1","KSPO송파","성인","일반","25","관리자","참가","20250201","F"
"3","남구(부산)","성인","일반","19","관리자","2등급","20250201","M"
"5","KSPO아산","성인","일반","22","관리자","2등급","20250201","M"
"6","화성","어르신","일반","81","관리자","2등급","20250201","M"
"1","KSPO대구","성인","일반","47","관리자","참가","20250201","F"
"1","연제","성인","일반","25","관리자","참가","20250201","M"
"4","KSPO대구","성인","일반","43","관리자","참가","20250201","M"
"3","KSPO광주","성인","일반","20","관리자","3등급","20250201","F"
"2","KSPO송파","성인","일반","61","관리자","참가","20250201","M"
"1","연제","성인","일반","25","관리자","1등급","20250201","M"
"3","화성","어르신","일반","65","관리자","2등급","20250201","F"
"1","천안","성인","일반","21","관리자","3등급","20250201","F"
"1","남구(부산)","성인","일반","44","관리자","참가","20250201","F"
"1","KSPO대구","성인","일반","19","관리자","참가","20250201","M"
"1","동해","성인","일반","52","관리자","참가","20250201","F"
"4","연제","성인","일반","41","관리자","1등급","20250201","F"
