MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DAY,SEXDSTN_FLAG_CD,MESURE_IEM_001_VALUE,MESURE_IEM_002_VALUE,MESURE_IEM_003_VALUE,MESURE_IEM_004_VALUE,MESURE_IEM_005_VALUE,MESURE_IEM_006_VALUE,MESURE_IEM_007_VALUE,MESURE_IEM_008_VALUE,MESURE_IEM_009_VALUE,MESURE_IEM_010_VALUE,MESURE_IEM_012_VALUE,MESURE_IEM_013_VALUE,MESURE_IEM_014_VALUE,MESURE_IEM_015_VALUE,MESURE_IEM_016_VALUE,MESURE_IEM_017_VALUE,MESURE_IEM_018_VALUE,MESURE_IEM_019_VALUE,MESURE_IEM_020_VALUE,MESURE_IEM_021_VALUE,MESURE_IEM_022_VALUE,MESURE_IEM_023_VALUE,MESURE_IEM_024_VALUE,MESURE_IEM_025_VALUE,MESURE_IEM_026_VALUE,MESURE_IEM_027_VALUE,MESURE_IEM_028_VALUE,MESURE_IEM_029_VALUE,MESURE_IEM_030_VALUE,MESURE_IEM_031_VALUE,MESURE_IEM_032_VALUE,MESURE_IEM_033_VALUE,MESURE_IEM_034_VALUE,MESURE_IEM_035_VALUE,MESURE_IEM_036_VALUE,MESURE_IEM_037_VALUE,MESURE_IEM_038_VALUE,MESURE_IEM_039_VALUE,MESURE_IEM_040_VALUE,MESURE_IEM_041_VALUE,MESURE_IEM_042_VALUE,MESURE_IEM_043_VALUE,MESURE_IEM_044_VALUE,MESURE_IEM_050_VALUE,MESURE_IEM_051_VALUE,MESURE_IEM_052_VALUE
"1","창원마산회원","성인","일반","46","관리자","2등급","20241202","F","161.8","54.6","24.8","73","77","146","33.2","39.5",,,"17.7",,,,,,"20.9","41","22","11.7","168",,,,,,"72.3",,"33.3",,,,,,,,,,,,,,,,,
"2","남원","성인","일반","61","관리자","1등급","20241202","M","164.6","54.8","23","74.5","87","156","44.2","43.4",,,"22.6",,,,,,"20.2","42","35","11.6","185",,,,,,"80.7",,"40.4",,,,,,,,,,,,,,,,,
"5","서초","어르신","출장","79","관리자","참가","20241202","F","157.2","60.6","39.9",,"87","151","23.1","20",,,"12.5",,,,,,"24.5",,,,,"16",,"54","6.91","30.21","38.1",,,,,,,,,,,,,,,,,,,"23.1"
"1","광주","성인","일반","19","관리자","1등급","20241202","M","170.4","68.3","10.7",,"82","134","40.3","44.4",,,"20",,,,,,"23.5","59","62","9.88","240",,,,,,"65.0",,"48.0",,,,,,,,,,,,,,,,,
"1","광주","성인","일반","19","관리자","참가","20241202","M","172.8","73.8","20.5",,"69","126","38.9","40",,,"-0.5",,,,,,"24.7","50","32","9.7","236",,,,,,"54.2",,"40.1",,,,,,,,,,,,,,,,,
"1","광주","성인","일반","40","관리자","3등급","20241202","M","177.8","78.5","21.2",,"70","135","49.7","54.3",,,"7.2",,,,,,"24.8","56",,,"218",,,,,,"69.2",,,,,,,,"92","43.5",,,"0.322",,,,,,,
"2","동구(부산)","유아기","출장","68","관리자","참가","20241202","M","114","21.8",,,,,"5.5","5.5","1",,"9",,,,,,"16.8",,"42",,"108",,,,,,"25.2",,,,,,,,,,,,,,,,,"9.09","22.9",
"1","동구(부산)","유아기","출장","83","관리자","3등급","20241202","M","119.6","22.1",,,,,"9.5","10.5","27",,"14",,,,,,"15.5",,"100",,"116",,,,,,"47.5",,,,,,,,,,,,,,,,,"7.58","22.58",
"1","오산","성인","일반","19","관리자","3등급","20241202","M","175.2","76.7","24","92.3","75","131","39.5","48.7",,,"13",,,,,,"25.0","43",,"10.25","229",,,,,,"63.5",,,,,,,,"89","49.3",,,,,,,,,,
"1","오산","성인","일반","19","관리자","참가","20241202","M","174.3","83.4","29.7","100.8","83","131","36.2","47.3",,,"15.6",,,,,,"27.5","42",,"10.75","217",,,,,,"56.7",,,,,,,,"111","44.5",,,,,,,,,,
"2","동구(부산)","유아기","출장","68","관리자","참가","20241202","M","112.3","20.6",,,,,"7","5","8",,"11.4",,,,,,"16.3",,"15",,"101",,,,,,"34.0",,,,,,,,,,,,,,,,,"8.3","23.15",
"2","동구(부산)","유아기","출장","81","관리자","참가","20241202","M","121.5","23.7",,,,,"5","10","14",,"7.5",,,,,,"16.1",,"100",,"137",,,,,,"42.2",,,,,,,,,,,,,,,,,"7.49","19.36",
"1","동구(부산)","유아기","출장","68","관리자","참가","20241202","M","113.3","20.7",,,,,"7.5","7","0",,"8.2",,,,,,"16.1",,"60",,"99",,,,,,"36.2",,,,,,,,,,,,,,,,,"8.75","24.42",
"9","무안","성인","일반","19","관리자","참가","20241202","M","165.7","63.2","20.5","66","75","138","30.4","37.2",,,"5",,,,,,"23.0","23",,,"158",,,,,,"58.9",,,,,,,,"107","48.9",,,"0.323",,,,,,,
"1","무안","성인","일반","19","관리자","참가","20241202","M","166.9","53.4","17","67","83","127","18.6","24.4",,,"3.6",,,,,,"19.2","36",,,,,,,,,"45.7",,,,,,,,"131","47.7",,,"0.339","0.545",,,,,,
"2","동구(부산)","유아기","출장","81","관리자","참가","20241202","M","124.4","27.7",,,,,"6","7","5",,"5",,,,,,"17.9",,"38",,"100",,,,,,"25.3",,,,,,,,,,,,,,,,,"8.15","20.61",
"2","동구(부산)","유아기","출장","64","관리자","참가","20241202","M","115.4","22.4",,,,,"7","6","10",,"13.5",,,,,,"16.8",,"60",,"105",,,,,,"31.3",,,,,,,,,,,,,,,,,"8.54","25.37",
"2","동구(부산)","유아기","출장","80","관리자","참가","20241202","M","119.1","28.6",,,,,"7.5","8","27",,"14.4",,,,,,"20.2",,"39",,"105",,,,,,"28.0",,,,,,,,,,,,,,,,,"8.55","21.80",
"1","목포","성인","일반","28","관리자","참가","20241202","M","177","70.1","27.9","86.2","75","122","33.2","30",,,"-14.7",,,,,,"22.4","33","14","12.41","160",,,,,,"47.4",,"35.6",,,,,,,,,,,,,,,,,
"1","화성","성인","일반","55","관리자","3등급","20241202","M","165.2","75.1","21.7",,"89","148","40.6","43.9",,,"21.4",,,,,,"27.5","40","20",,"210",,,,,,"58.5",,"34.4",,,,,,,,,,"0.381",,,,,,,
"2","동구(부산)","유아기","출장","70","관리자","참가","20241202","M","121.9","35.1",,,,,"12","12.5","7",,"14.6",,,,,,"23.6",,"60",,"92",,,,,,"35.6",,,,,,,,,,,,,,,,,"10.33","22.96",
"4","KSPO송파별관(어르신)","어르신","일반","67","관리자","1등급","20241202","M","168.3","71.3","24.7",,"98","182","41.9","41.5",,,"22",,,,,,"25.2",,,,,"31",,"147","4.79","17.41","58.8",,,,,,,,,,,,,,,,,,,"41.9"
"2","동구(부산)","유아기","출장","74","관리자","참가","20241202","F","117.7","20.8",,,,,"6","7","19",,"12",,,,,,"15.0",,"100",,"110",,,,,,"33.7",,,,,,,,,,,,,,,,,"10.54","23.18",
"2","KSPO송파별관(어르신)","어르신","일반","70","관리자","3등급","20241202","M","168","58","19.1",,"76","157","36","38.6",,,"3.8",,,,,,"20.5",,,,,"29",,"133","4.45","16.87","66.6",,,,,,,,,,,,,,,,,,,"38.6"
"2","동구(부산)","유아기","출장","65","관리자","참가","20241202","M","112.7","20.4",,,,,"3.5","4.5","1",,"9.5",,,,,,"16.1",,"60",,"96",,,,,,"22.1",,,,,,,,,,,,,,,,,"9.73","28.22",
"2","동구(부산)","유아기","출장","72","관리자","참가","20241202","F","111.5","21.6",,,,,"4","5","26",,"0.0",,,,,,"17.4",,"58",,"81",,,,,,"23.1",,,,,,,,,,,,,,,,,"10.85","24.94",
"2","동구(부산)","유아기","출장","74","관리자","2등급","20241202","F","115.8","20.2",,,,,"10","10.5","12",,"22",,,,,,"15.1",,"100",,"115",,,,,,"52.0",,,,,,,,,,,,,,,,,"9.27","22.95",
"3","양평","어르신","일반","67","관리자","2등급","20241202","F","153.5","62.7","28.8",,"85","156","24","24.1",,,"24.8",,,,,,"26.6",,,,,"34",,"135","3.69","16.44","38.4",,,,,,,,,,,,,,,,,,,"24.1"
"2","동구(부산)","유아기","출장","81","관리자","참가","20241202","F","122.7","25.2",,,,,"11","12","8",,"6.0",,,,,,"16.7",,"100",,"110",,,,,,"47.6",,,,,,,,,,,,,,,,,"8.52","20.63",
"2","청주","성인","일반","52","관리자","참가","20241202","F","160.8","65.5","40.3","92.5","75","133","27.4","26.6",,,"12.4",,,,,,"25.3","9",,,"123",,,,,,"41.8",,,,,,,,"105","31.4",,,"0.351",,,,,,,
"1","동구(부산)","유아기","출장","79","관리자","참가","20241202","F","120.5","21.4",,,,,"6.5","5","9",,"12",,,,,,"14.7",,"89",,"95",,,,,,"30.4",,,,,,,,,,,,,,,,,"9.90","21.58",
"2","동구(부산)","유아기","출장","71","관리자","참가","20241202","M","125.1","24.1",,,,,"9","11","20",,"0",,,,,,"15.4",,"79",,"117",,,,,,"45.6",,,,,,,,,,,,,,,,,"8.2","22.54",
"1","증평","성인","일반","57","관리자","참가","20241202","M","168.0","73.4","29.8","92.8","79","130","39.3","41.4",,,"1.7",,,,,,"26.0","34",,,"165",,,,,,"56.4",,,"66","100","115","135","41.4",,,,,"0.335",,,,,,,
"2","동구(부산)","유아기","출장","76","관리자","2등급","20241202","F","122.7","24.7",,,,,"12.5","10.5","9",,"24.5",,,,,,"16.4",,"65",,"100",,,,,,"50.6",,,,,,,,,,,,,,,,,"9.50","22.38",
"2","동구(부산)","유아기","출장","67","관리자","참가","20241202","M","107.7","18.4",,,,,"5","5","12",,"10",,,,,,"15.9",,"35",,"110",,,,,,"27.2",,,,,,,,,,,,,,,,,"8.5","22.33",
"3","KSPO송파별관(어르신)","어르신","일반","73","관리자","2등급","20241202","M","155.2","55","29.8",,"74","123","32.6","33.1",,,"5.4",,,,,,"22.8",,,,,"27",,"123","5.01","18.52","60.2",,,,,,,,,,,,,,,,,,,"33.1"
"1","안산","성인","일반","54","관리자","3등급","20241202","F","153.8","51.9","32.3","79.2","72","131","24.4","24.9",,,"20.2",,,,,,"21.9","16",,,,,,,,,"48.0",,,,,,,,"110","33.1",,,"0.418","0.386",,,,,,
"2","동구(부산)","유아기","출장","72","관리자","참가","20241202","F","113.6","22.5",,,,,"9.5","9.7","16",,"4.3",,,,,,"17.4",,"28",,"98",,,,,,"43.1",,,,,,,,,,,,,,,,,"9.64","22.45",
"1","KSPO송파별관(어르신)","어르신","일반","66","관리자","2등급","20241202","M","170.5","79","28",,"87","151","38.7","40",,,"18.5",,,,,,"27.2",,,,,"25",,"122","4.95","18.12","50.6",,,,,,,,,,,,,,,,,,,"40.0"
"1","군산","성인","일반","19","관리자","참가","20241202","M","178.6","93.5","23","89","74","122","40.9","44.9",,,"12.9",,,,,,"29.3","50","52",,"230",,,,,,"48.0",,"41.8",,,,,,,,,,"0.386",,,,,,,
"3","부천","성인","일반","62","관리자","2등급","20241202","F","152.9","63.8","39.1",,"82","116","30.7","31",,,"18.6",,,,,,"27.3","23",,,"128",,,,,,"48.6",,,"88","114","131",,"30.8",,,,,"0.367",,,,,,,
"3","영주","성인","일반","63","관리자","2등급","20241202","M","162.9","67.50","26.6","86.0","95","151","38.7","45.5",,,"9.5",,,,,,"25.4","36","21",,"171",,,,,,"67.4",,"35.1",,,,,,,,,,"0.364",,,,,,,
"1","동구(부산)","유아기","출장","80","관리자","참가","20241202","F","112.5","26",,,,,"9.8","11.3","20",,"0.5",,,,,,"20.5",,"60",,"103",,,,,,"43.5",,,,,,,,,,,,,,,,,"11.10","25.37",
"2","동구(부산)","유아기","출장","61","관리자","참가","20241202","M","115.6","25.1",,,,,"5","6","12",,"15",,,,,,"18.8",,"22",,"99",,,,,,"23.9",,,,,,,,,,,,,,,,,"9.1","25.47",
"2","동구(부산)","유아기","출장","77","관리자","참가","20241202","F","117.7","20.2",,,,,"9","10.6","18",,"-9.0",,,,,,"14.6",,"100",,"98",,,,,,"52.5",,,,,,,,,,,,,,,,,"9.98","23.46",
"2","무안","성인","일반","19","관리자","참가","20241202","F","158.4","47.7","32.7","73","63","101","15.8","20",,,"1",,,,,,"19.0","26",,,,,,,,,"41.9",,,"95","144","174",,"37.7",,,,,"0.373","0.438",,,,,,
"3","고양","어르신","출장","75","관리자","3등급","20241202","F","151.6","53.2","34.2",,"67","116","21.6","22.6",,,"14.6",,,,,,"23.1",,,,,"29",,"78","6.27","27.37","42.5",,,,,,,,,,,,,,,,,,,"22.6"
"2","동구(부산)","유아기","출장","67","관리자","참가","20241202","F","107.2","18.8",,,,,"5.5","6.5","6",,"13",,,,,,"16.4",,"52",,"85",,,,,,"34.6",,,,,,,,,,,,,,,,,"10.33","25.71",
"3","화성","성인","일반","62","관리자","3등급","20241202","M","167.6","68.4","21.1",,"74","117","37","35",,,"13.5",,,,,,"24.4","19",,,"191",,,,,,"54.1",,,,,,,,"106","37.5",,,"0.333",,,,,,,
"2","동구(부산)","유아기","출장","72","관리자","참가","20241202","F","119.4","29.7",,,,,"8.8","9.2","2",,"1.5",,,,,,"20.8",,"52",,"80",,,,,,"31.0",,,,,,,,,,,,,,,,,"9.55","22.43",
"2","사천","어르신","일반","80","관리자","1등급","20241202","M","165.9","56.4","22.3","78.3","70","130","35.2","36.8",,,"6.6",,,,,,"20.5",,,,,"24",,"128","5.4","24.63","65.2",,,,,,,,,,,,,,,,,,,"36.8"
"4","사천","어르신","일반","73","관리자","참가","20241202","M","169.8","61","30.9","84.5","74","146","21","25.1",,,"4.2",,,,,,"21.2",,,,,"17",,"106","6.34","29.38","41.1",,,,,,,,,,,,,,,,,,,"25.1"
"3","서대문","어르신","일반","75","관리자","1등급","20241202","M","156.3","61.2","29.5",,"96","151","34.1","36.4",,,"13.5",,,,,,"25.1",,,,,"31",,"137","4.72","22.66","59.5",,,,,,,,,,,,,,,,,,,"36.4"
"2","동구(부산)","유아기","출장","73","관리자","참가","20241202","F","112.9","19.1",,,,,"10.4","11.2","20",,"-1.0",,,,,,"15.0",,"100",,"84",,,,,,"58.6",,,,,,,,,,,,,,,,,"9.44","23.07",
"2","동구(부산)","유아기","출장","79","관리자","참가","20241202","M","122.6","23.9",,,,,"10","12","30",,"4.5",,,,,,"15.9",,"100",,"118",,,,,,"50.2",,,,,,,,,,,,,,,,,"7.1","19.34",
"3","KSPO송파","성인","일반","33","관리자","3등급","20241202","M","188.4","75.3","19.5","86.1","95","144","43.1","43.9",,,"5.2",,,,,,"21.2","46","31",,,,,,,,"58.3",,"38.2",,,,,,,,,,"0.326","0.459",,,,,,
"2","포항","어르신","일반","71","관리자","3등급","20241202","M","168.8","59.3","15.4",,"68","136","30.7","32.5",,,"12.7",,,,,,"20.8",,,,,"19",,"115","5.53","26.69","54.8",,,,,,,,,,,,,,,,,,,"32.5"
"1","포천","성인","일반","27","관리자","참가","20241202","M","181","91.1","29.9","104","82","137","39.1","47.2",,,"9.9",,,,,,"27.8","43","27",,,,,,,,"51.8",,"35.6",,,,,,,,,,"0.344","0.501",,,,,,
"1","서구(대전)","성인","일반","19","관리자","참가","20241202","M","173.6","60.5","13.9",,"62","124","41","40",,,"-1.7",,,,,,"20.1","40",,"10.47","198",,,,,,"67.8",,,"90","119","149","176","46.1",,,,,,,,,,,,
"2","동구(부산)","유아기","출장","64","관리자","참가","20241202","F","111.4","20.8",,,,,"6","7","0",,"9.2",,,,,,"16.8",,"100",,"80",,,,,,"33.7",,,,,,,,,,,,,,,,,"10.30","27.16",
"1","동구(부산)","유아기","출장","82","관리자","참가","20241202","F","116.0","21.7",,,,,"10.4","12.4","12",,"3.3",,,,,,"16.1",,"100",,"82",,,,,,"57.1",,,,,,,,,,,,,,,,,"10.19","20.69",
"2","동구(부산)","유아기","출장","64","관리자","참가","20241202","F","112.5","20.2",,,,,"5","6.5","15",,"15.5",,,,,,"16.0",,"100",,"79",,,,,,"32.2",,,,,,,,,,,,,,,,,"10.46","21.52",
"2","동구(부산)","유아기","출장","76","관리자","3등급","20241202","M","114.7","22.0",,,,,"9","11","7",,"19",,,,,,"16.7",,"100",,"115",,,,,,"50.0",,,,,,,,,,,,,,,,,"8","21.53",
"1","달서","성인","일반","31","관리자","3등급","20241202","M","172","82.08","23.6","96","81","127","47.5","53.6",,,"11",,,,,,"27.7","40",,,"184",,,,,,"65.3",,,,,,,,"130","38.9",,,"0.309",,,,,,,
"1","스포원(금정)","성인","일반","19","관리자","3등급","20241202","M","180.8","82.2","18.8",,"67","124","43.4","50",,,"18.3",,,,,,"25.1","53","44","10","212",,,,,,"60.8",,"41.5",,,,,,,,,,,,,,,,,
"2","달서","성인","일반","19","관리자","2등급","20241202","M","185.9","84.54","11.2","82.8","74","155","54.7","57.7",,,"17",,,,,,"24.5","52",,,"238",,,,,,"68.3",,,,,,,,"88","48.5",,,"0.315",,,,,,,
"1","서구(광주)","성인","일반","60","관리자","참가","20241202","M","170.4","75.2","25.4","92","97","153","33.5","42.9",,,"14.9",,,,,,"25.9","30",,,"198",,,,,,"57.0",,,,,,,,"125","33.9",,,"0.415",,,,,,,
"1","스포원(금정)","어르신","일반","69","관리자","참가","20241202","M","163.6","65.1","21.1",,"67","134","34.4","38",,,"18",,,,,,"24.3",,,,,"20",,"95","6.2","25.4","58.4",,,,,,,,,,,,,,,,,,,"38.0"
"2","동구(부산)","유아기","출장","68","관리자","참가","20241202","F","107.6","17.7",,,,,"5","5.5","15",,"13.2",,,,,,"15.3",,"100",,"77",,,,,,"31.1",,,,,,,,,,,,,,,,,"10.78","25.57",
"1","영암","청소년","일반","15","관리자","참가","20241202","M","174.4","66.1","17.8",,"70","128","33.7","32.4",,"42","19","19.56","0.569","52.326","10","52.786","21.7",,"35",,,,,,,,"51.0",,"41.8",,,,,,,,,,,,,,,,,
"2","동구(부산)","유아기","출장","81","관리자","3등급","20241202","M","121.0","22.8",,,,,"9","11","30",,"9",,,,,,"15.6",,"100",,"137",,,,,,"48.2",,,,,,,,,,,,,,,,,"8","20.71",
"2","동구(부산)","유아기","출장","62","관리자","참가","20241202","F","108.4","19.2",,,,,"3","3.5","1",,"13",,,,,,"16.3",,"64",,"89",,,,,,"18.2",,,,,,,,,,,,,,,,,"10.13","27.60",
"1","천안","청소년","일반","18","관리자","참가","20241202","M","174.9","59.1","14.4",,"66","123","38.5","44","25",,"5.2","18.83","0.564","47.268","8","47.636","19.3",,,,,,,,,,"74.5",,,"99","119","135",,"50.5",,,,,,,,,,,,
"1","동구(부산)","유아기","출장","83","관리자","참가","20241202","M","119.8","26.1",,,,,"8","7","6",,"7.5",,,,,,"18.2",,"100",,"112",,,,,,"30.7",,,,,,,,,,,,,,,,,"8.5","20.11",
"1","서구(대전)","성인","일반","22","관리자","2등급","20241202","M","170.1","75.2","17.6",,"62","128","56.4","55.3",,,"18.6",,,,,,"26.0","56",,,,,,,,,"75.0",,,"62","94","121","156","45.9",,,,,"0.277","0.639",,,,,,
"1","북구(광주)","어르신","일반","69","관리자","2등급","20241202","M","165.7","72.1","29.1","96.9","54","131","36.2","34.1",,,"8.6",,,,,,"26.3",,,,,"21",,"110","5.03","23.79","50.2",,,,,,,,,,,,,,,,,,,"36.2"
"1","동구(부산)","유아기","출장","70","관리자","참가","20241202","F","117.9","20.9",,,,,"5.8","6.5","10",,"3.5",,,,,,"15.0",,"100",,"84",,,,,,"31.1",,,,,,,,,,,,,,,,,"10.27","24.62",
"1","화성","성인","일반","49","관리자","3등급","20241202","F","151.6","50","23.3",,"63","123","28.2","26.6",,,"11",,,,,,"21.8","25",,"14.4","173",,,,,,"56.4",,,"65","83","113",,"37.8",,,,,,,,,,,,
"1","안산","성인","일반","60","관리자","2등급","20241202","F","150.3","55.2","36.7","74","73","121","27.9","26.3",,,"18.6",,,,,,"24.4","19",,,"155",,,,,,"50.5",,,"98","138","160",,"29.6",,,,,"0.417",,,,,,,
"2","동구(부산)","유아기","출장","74","관리자","참가","20241202","M","114.4","20.6",,,,,"10","10","13",,"6.2",,,,,,"15.7",,"71",,"126",,,,,,"48.5",,,,,,,,,,,,,,,,,"8.4","21.13",
"2","동구(부산)","유아기","출장","61","관리자","참가","20241202","F","107.3","20.2",,,,,"5.8","6.5","15",,"-11",,,,,,"17.5",,"35",,"72",,,,,,"32.2",,,,,,,,,,,,,,,,,"10.70","27.54",
"2","계룡","성인","일반","23","관리자","2등급","20241202","F","159.5","66.5","31.2",,"77","128","32.3","37.2",,,"19.3",,,,,,"26.1","46","45","11.65","186",,,,,,"55.9",,"39.3",,,,,,,,,,,,,,,,,
"2","동구(부산)","유아기","출장","77","관리자","참가","20241202","M","114.9","21.3",,,,,"7","10","16",,"10.9",,,,,,"16.1",,"25",,"117",,,,,,"46.9",,,,,,,,,,,,,,,,,"8.2","20.24",
"2","동구(부산)","유아기","출장","66","관리자","참가","20241202","F","112.3","23.9",,,,,"7.6","7.2","13",,"3.0",,,,,,"19.0",,"66",,"86",,,,,,"31.8",,,,,,,,,,,,,,,,,"10.50","24.88",
"1","제주","성인","일반","19","관리자","참가","20241202","M","166.9","73.7","12","80.1","33","96","35","41.8",,,"10.3",,,,,,"26.5","35",,"11.1",,,,,,,"56.7",,,,,,,,"100","47.7",,,,"0.663",,,,,,
"1","구미","성인","일반","29","관리자","참가","20241202","M","178.7","77.9","27.9","98.9","68","131","42.2","42.3",,,"-9",,,,,,"24.4","29",,,,,,,,,"54.3",,,,,,,,"119","42.4",,,"0.443","0.503",,,,,,
"2","동구(부산)","유아기","출장","69","관리자","참가","20241202","F","109.3","16.5",,,,,"7.4","7","3",,"-3.0",,,,,,"13.8",,"100",,"101",,,,,,"44.8",,,,,,,,,,,,,,,,,"9.52","22.22",
"1","삼척","성인","일반","20","관리자","참가","20241202","F","162.1","66.0","38.8",,"70","122","25","30.3",,,"14.0",,,,,,"25.1","25",,,"133",,,,,,"45.9",,,,,,,,"144","32.6",,,"0.345",,,,,,,
"2","동구(부산)","유아기","출장","69","관리자","참가","20241202","F","113.9","20.2",,,,,"4.5","6.2","12",,"-10.0",,,,,,"15.6",,"100",,"98",,,,,,"30.7",,,,,,,,,,,,,,,,,"8.80","23.54",
"1","계룡","어르신","일반","76","관리자","참가","20241202","M","173.5","77.8","35.3",,"68","147","32.8","35.6",,,"-7.4",,,,,,"25.8",,,,,"13",,"80","8","33.97","45.8",,,,,,,,,,,,,,,,,,,"35.6"
"1","동구(부산)","유아기","출장","64","관리자","참가","20241202","F","109.7","18.7",,,,,"6.4","7.8","12",,"0",,,,,,"15.5",,"100",,"100",,,,,,"41.7",,,,,,,,,,,,,,,,,"11.96","24.62",
"2","동구(부산)","유아기","출장","71","관리자","참가","20241202","F","109.8","18.7",,,,,"6.5","5.5","11",,"13.4",,,,,,"15.5",,"100",,"79",,,,,,"34.8",,,,,,,,,,,,,,,,,"11.3","23.85",
"1","구미","어르신","일반","66","관리자","3등급","20241202","M","170.2","78.6","29.3","94.2","85","154","42.4","42.5",,,"2.0",,,,,,"27.1",,,,,"25",,"128","6.59","23.22","54.1",,,,,,,,,,,,,,,,,,,"42.5"
"2","동구(부산)","유아기","출장","81","관리자","참가","20241202","M","120.9","24.6",,,,,"7","8","16",,"11.2",,,,,,"16.8",,"100",,"108",,,,,,"32.5",,,,,,,,,,,,,,,,,"7.97","21.2",
"2","무안","성인","일반","20","관리자","2등급","20241202","M","174.9","66.7","10.4","61","64","141","45.6","43.5",,,"14.2",,,,,,"21.8","50",,"9.78","222",,,,,,"68.4",,,,,,,,"88","51.4",,,,,,,,,,
"1","동구(부산)","유아기","출장","72","관리자","참가","20241202","F","113.6","22.4",,,,,"3.5","4","1",,"15.7",,,,,,"17.4",,"21",,"97",,,,,,"17.9",,,,,,,,,,,,,,,,,"9.33","25.05",
