MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MVM_PRSCRPTN_CN,SEXDSTN_FLAG_CD
"1","영암","성인","일반","60","관리자","1등급","20250101","준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:턱걸이,윗몸올리기 ,엎드려 버티기,팔굽혀펴기 / 정리운동:걷기,달리기,실내 자전거타기,트레드밀에서 걷기","M"
"2","남구(울산)","성인","일반","19","관리자","3등급","20250102","준비운동:하지 루틴 스트레칭1,전신 루틴 스트레칭","M"
"1","북구(광주)","성인","일반","63","관리자","3등급","20250102","준비운동:하지 루틴 스트레칭1,전신 루틴 스트레칭 / 본운동:앉았다 일어서기,매달려서 다리 들기,옆으로 누워 버티기,계단 올라갔다 내려오기 / 정리운동:등/어깨 뒤쪽 스트레칭,옆구리 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭","M"
"1","남구(울산)","성인","일반","20","관리자","2등급","20250102","준비운동:걷기 / 본운동:달리기,왕복달리기,윗몸 일으키기,버피 테스트 / 정리운동:정적 스트레칭  루틴프로그램","M"
"1","영주","어르신","일반","71","관리자","3등급","20250102","준비운동:유산소 운동 전 동적 루틴 스트레칭,좌식생활자를 위한 동적 루틴 스트레칭  / 본운동:서서 균형잡기,앉았다 일어서기,짐볼 윗몸올리기,옆으로 누워 버티기 / 정리운동:전신 루틴 스트레칭,자가근막이완술 루틴 스트레칭","M"
"7","영주","어르신","일반","71","관리자","1등급","20250102","준비운동:고정식 자전거 타기,스텝박스 오르내리기  / 본운동:앉아서 다리 펴기,엎드려서 다리 굽히기 ,앉아서 다리 밀기  / 정리운동:대퇴이두근 스트레칭,엉덩이 스트레칭2,종아리 스트레칭","M"
"1","신안","성인","일반","26","관리자","참가","20250102","본운동:엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,하지 루틴 스트레칭2","M"
"2","마포","성인","일반","63","관리자","1등급","20250102","준비운동:상지 루틴 스트레칭 / 본운동:턱걸이,윗몸올리기 ,엎드려 버티기,팔굽혀펴기 / 정리운동:달리기,실내 자전거타기","M"
"6","고양","어르신","일반","68","관리자","1등급","20250102","준비운동:고정식 트레드밀에서 걷기,고정식 자전거 타기,스텝박스 오르내리기","M"
"2","사상","어르신","일반","77","관리자","참가","20250102","준비운동:하지 루틴 스트레칭1,상지 루틴 스트레칭,스텝박스 / 본운동:바벨 잡고 들어올리기,앉아서 다리 펴기 / 정리운동:전신 루틴 스트레칭","F"
"1","창원","성인","일반","19","관리자","3등급","20250102","준비운동:등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,허리 스트레칭,배스트레칭 / 본운동:엎드려 버티기,옆으로 누워 버티기,앉았다 일어서기,바벨들어올리기 / 정리운동:엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭","M"
"1","남구(울산)","성인","일반","21","관리자","참가","20250102","준비운동:하지 루틴 스트레칭2,상지 루틴 스트레칭 / 본운동:엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭 / 정리운동:전신 루틴 스트레칭","F"
"3","증평","성인","일반","19","관리자","3등급","20250102","본운동:앉았다 일어서기,턱걸이,윗몸 말아 올리기,팔굽혀펴기","M"
"1","남구(울산)","성인","일반","27","관리자","참가","20250102","준비운동:정적 스트레칭  루틴프로그램 / 본운동:전완대고 버티기,팔다리 교차 버티기,맨몸운동  루틴프로그램,저항밴드 운동  루틴프로그램,조깅,자전거타기,줄넘기 운동,박스 운동  루틴프로그램,짐볼 운동  루틴프로그램 / 정리운동:요가 및 필라테스  루틴프로그램","F"
"1","KSPO송파","성인","일반","20","관리자","참가","20250102","준비운동:윗몸 말아 올리기,윗몸올리기","M"
"2","서초","성인","일반","20","관리자","3등급","20250102","준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:앉았다 일어서기,윗몸올리기 ,엎드려 버티기,달리기,수영 / 정리운동:넙다리 뒤쪽 스트레칭,하지 루틴 스트레칭1,전신 루틴 스트레칭","M"
"1","KSPO송파","성인","일반","62","관리자","2등급","20250102","준비운동:진자운동","M"
