MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MBER_SEXDSTN_FLAG_CD
"1","무안","유아기","출장","50","관리자","참가","20250701","F"
"3","무안","유아기","출장","63","관리자","참가","20250701","F"
"2","동구(인천)","성인","출장","62","관리자","2등급","20250701","F"
"2","전주","성인","일반","20","관리자","1등급","20250701","M"
"2","전주","어르신","일반","75","관리자","1등급","20250701","M"
"2","연제","유소년","출장","11","관리자","참가","20250701","F"
"1","전주","유아기","출장","49","관리자","3등급","20250701","F"
"1","전주","유아기","출장","50","관리자","3등급","20250701","M"
"1","전주","성인","일반","30","관리자","5등급","20250701","M"
"1","전주","유아기","출장","51","관리자","참가","20250701","F"
"1","전주","유아기","출장","50","관리자","참가","20250701","F"
"1","전주","유아기","출장","50","관리자","참가","20250701","M"
"1","전주","유아기","출장","53","관리자","1등급","20250701","M"
"1","무안","유아기","출장","54","관리자","참가","20250701","M"
"1","전주","유아기","출장","50","관리자","참가","20250701","F"
"1","동구(인천)","성인","출장","27","관리자","1등급","20250701","F"
"1","연제","유소년","출장","11","관리자","1등급","20250701","F"
"2","사하","어르신","출장","72","관리자","5등급","20250701","F"
"1","연제","유소년","출장","12","관리자","3등급","20250701","F"
"3","무안","유아기","출장","64","관리자","참가","20250701","F"
"2","연제","유소년","출장","12","관리자","3등급","20250701","F"
"6","영암","성인","일반","45","관리자","5등급","20250701","M"
"1","고양","성인","일반","19","관리자","5등급","20250701","M"
"1","무안","유아기","출장","51","관리자","참가","20250701","F"
"1","무안","유아기","출장","48","관리자","참가","20250701","F"
"1","무안","유아기","출장","62","관리자","참가","20250701","F"
"1","무안","유아기","출장","55","관리자","참가","20250701","F"
"1","고양","성인","일반","26","관리자","참가","20250701","M"
"3","고양","성인","일반","30","관리자","2등급","20250701","F"
"2","고양","성인","일반","34","관리자","1등급","20250701","M"
"2","고양","성인","일반","19","관리자","3등급","20250701","M"
"1","무안","유아기","출장","53","관리자","참가","20250701","F"
"2","무안","유아기","출장","60","관리자","참가","20250701","M"
"1","양평","성인","일반","38","관리자","2등급","20250701","M"
"6","목포","성인","일반","36","관리자","참가","20250701","M"
"1","동구(인천)","성인","출장","29","관리자","5등급","20250701","M"
"2","동구(인천)","성인","출장","31","관리자","참가","20250701","M"
"1","동구(인천)","성인","출장","26","관리자","2등급","20250701","F"
"1","동구(인천)","성인","출장","36","관리자","5등급","20250701","M"
"1","화성","청소년","일반","18","관리자","참가","20250701","M"
"1","화성","성인","일반","44","관리자","3등급","20250701","M"
"1","화성","성인","일반","28","관리자","2등급","20250701","F"
"1","화성","성인","일반","19","관리자","3등급","20250701","M"
"1","화성","성인","일반","19","관리자","5등급","20250701","M"
"1","무안","유아기","출장","58","관리자","참가","20250701","M"
"3","목포","성인","일반","27","관리자","참가","20250701","M"
"6","동구(인천)","성인","출장","37","관리자","2등급","20250701","M"
"1","무안","유아기","출장","50","관리자","참가","20250701","M"
"1","무안","유아기","출장","59","관리자","참가","20250701","F"
"1","KSPO송파","성인","일반","29","관리자","3등급","20250701","F"
"4","포항","성인","일반","29","관리자","참가","20250701","M"
"1","포항","성인","일반","23","관리자","3등급","20250701","M"
"1","포항","성인","일반","47","관리자","참가","20250701","M"
"1","포항","성인","일반","20","관리자","5등급","20250701","M"
"1","포항","성인","일반","37","관리자","참가","20250701","M"
"2","포항","성인","일반","28","관리자","1등급","20250701","M"
"1","포항","성인","일반","40","관리자","2등급","20250701","M"
"1","포항","성인","일반","38","관리자","5등급","20250701","M"
"1","포항","성인","일반","42","관리자","3등급","20250701","M"
"4","포항","성인","일반","28","관리자","1등급","20250701","M"
"1","포항","성인","일반","58","관리자","1등급","20250701","F"
"1","영주","성인","일반","21","관리자","참가","20250701","M"
"1","영주","성인","일반","42","관리자","3등급","20250701","M"
"1","영주","청소년","일반","18","관리자","5등급","20250701","M"
"1","동작","성인","일반","48","관리자","2등급","20250701","M"
"1","동작","성인","일반","19","관리자","5등급","20250701","F"
"1","동작","성인","일반","33","관리자","5등급","20250701","M"
"1","동작","성인","일반","49","관리자","참가","20250701","F"
"1","동작","성인","일반","23","관리자","참가","20250701","F"
"4","동작","어르신","일반","69","관리자","3등급","20250701","M"
"2","동작","성인","일반","26","관리자","1등급","20250701","F"
"1","동작","성인","일반","19","관리자","참가","20250701","M"
"1","동작","성인","일반","35","관리자","3등급","20250701","F"
"1","동작","성인","일반","36","관리자","3등급","20250701","M"
"1","스포원(금정)","성인","일반","57","관리자","5등급","20250701","F"
"6","스포원(금정)","성인","일반","29","관리자","1등급","20250701","F"
"1","스포원(금정)","성인","일반","48","관리자","참가","20250701","M"
"3","스포원(금정)","성인","일반","22","관리자","5등급","20250701","F"
"3","스포원(금정)","성인","일반","22","관리자","참가","20250701","F"
"1","스포원(금정)","성인","일반","19","관리자","참가","20250701","M"
"1","스포원(금정)","성인","일반","59","관리자","참가","20250701","F"
"1","스포원(금정)","성인","일반","34","관리자","3등급","20250701","M"
