MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MBER_SEXDSTN_FLAG_CD
"1","KSPO아산","청소년","일반","18","관리자","2등급","20241002","F"
"1","군산","어르신","일반","66","관리자","참가","20241002","F"
"1","구미","성인","일반","23","관리자","참가","20241002","M"
"4","정읍","청소년","출장","17","관리자","3등급","20241002","M"
"1","안산","성인","일반","49","관리자","1등급","20241002","F"
"3","동구(인천)","어르신","일반","67","관리자","참가","20241002","F"
"2","사하","성인","출장","56","관리자","참가","20241002","M"
"1","시흥","성인","일반","60","관리자","참가","20241002","M"
"1","KSPO송파","성인","일반","51","관리자","참가","20241002","M"
"1","사하","성인","출장","53","관리자","참가","20241002","M"
"2","춘천","청소년","일반","17","관리자","참가","20241002","M"
"1","양평","성인","일반","32","관리자","참가","20241002","M"
"11","KSPO송파별관(어르신)","어르신","일반","69","관리자","1등급","20241002","M"
"1","창원","성인","일반","20","관리자","참가","20241002","M"
"1","전주","청소년","일반","18","관리자","참가","20241002","M"
"9","김천","성인","일반","60","관리자","참가","20241002","M"
"4","부천","청소년","일반","18","관리자","1등급","20241002","M"
"6","천안","청소년","일반","18","관리자","2등급","20241002","M"
"2","영동","청소년","출장","13","관리자","참가","20241002","F"
"1","구미","성인","일반","61","관리자","2등급","20241002","M"
"1","남구(부산)","성인","일반","22","관리자","참가","20241002","M"
"1","익산","성인","출장","39","관리자","참가","20241002","F"
"1","KSPO아산","성인","일반","22","관리자","2등급","20241002","F"
"1","강릉","성인","일반","22","관리자","참가","20241002","F"
"1","KSPO광주","성인","일반","27","관리자","참가","20241002","M"
"2","KSPO아산","성인","일반","23","관리자","참가","20241002","M"
"1","고양","성인","일반","37","관리자","3등급","20241002","F"
"1","마포","성인","일반","27","관리자","참가","20241002","M"
"1","오산","성인","일반","38","관리자","3등급","20241002","F"
"1","부천","성인","일반","20","관리자","참가","20241002","F"
"4","정읍","청소년","출장","16","관리자","3등급","20241002","M"
"1","구미","성인","일반","22","관리자","참가","20241002","M"
"4","정읍","청소년","출장","16","관리자","참가","20241002","M"
"1","계룡","성인","일반","35","관리자","참가","20241002","M"
"6","정읍","청소년","출장","16","관리자","참가","20241002","M"
"2","사하","성인","출장","58","관리자","2등급","20241002","M"
"2","사하","성인","출장","43","관리자","3등급","20241002","M"
"1","신안","어르신","출장","85","관리자","참가","20241002","F"
"1","순천","성인","일반","25","관리자","3등급","20241002","M"
"1","진천","성인","출장","56","관리자","참가","20241002","F"
"6","정읍","청소년","출장","15","관리자","3등급","20241002","M"
"6","정읍","청소년","출장","16","관리자","참가","20241002","M"
"1","부천","청소년","일반","18","관리자","참가","20241002","M"
"1","창원마산회원","성인","일반","24","관리자","참가","20241002","F"
"1","양평","성인","일반","20","관리자","3등급","20241002","M"
"2","사하","성인","출장","25","관리자","3등급","20241002","M"
"2","사하","성인","출장","30","관리자","참가","20241002","M"
"2","마포","성인","일반","23","관리자","3등급","20241002","F"
"1","수원","어르신","출장","78","관리자","참가","20241002","F"
"2","영동","청소년","출장","13","관리자","참가","20241002","F"
"4","정읍","청소년","출장","17","관리자","참가","20241002","M"
"1","성남","청소년","일반","18","관리자","2등급","20241002","M"
"1","서구(광주)","성인","일반","62","관리자","참가","20241002","F"
"1","신안","어르신","출장","77","관리자","참가","20241002","M"
"1","광주","성인","일반","25","관리자","참가","20241002","M"
"3","동작","성인","일반","61","관리자","참가","20241002","M"
"3","서대문","성인","일반","20","관리자","3등급","20241002","M"
"1","수원","어르신","출장","73","관리자","참가","20241002","F"
"1","수원","어르신","출장","83","관리자","참가","20241002","F"
"1","목포","성인","일반","19","관리자","3등급","20241002","M"
"1","연제","어르신","출장","65","관리자","1등급","20241002","M"
"1","광산","성인","출장","39","관리자","참가","20241002","M"
"1","광주","성인","일반","23","관리자","3등급","20241002","M"
"6","동해","성인","일반","46","관리자","1등급","20241002","M"
"4","정읍","청소년","출장","17","관리자","참가","20241002","M"
"2","계룡","성인","일반","27","관리자","2등급","20241002","M"
"1","서구(대전)","성인","일반","22","관리자","3등급","20241002","M"
"9","화성","성인","일반","32","관리자","1등급","20241002","M"
"2","고양","청소년","일반","17","관리자","참가","20241002","F"
