MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DAY,SEXDSTN_FLAG_CD,MESURE_IEM_001_VALUE,MESURE_IEM_002_VALUE,MESURE_IEM_003_VALUE,MESURE_IEM_004_VALUE,MESURE_IEM_005_VALUE,MESURE_IEM_006_VALUE,MESURE_IEM_007_VALUE,MESURE_IEM_008_VALUE,MESURE_IEM_009_VALUE,MESURE_IEM_010_VALUE,MESURE_IEM_012_VALUE,MESURE_IEM_013_VALUE,MESURE_IEM_014_VALUE,MESURE_IEM_015_VALUE,MESURE_IEM_016_VALUE,MESURE_IEM_017_VALUE,MESURE_IEM_018_VALUE,MESURE_IEM_019_VALUE,MESURE_IEM_020_VALUE,MESURE_IEM_021_VALUE,MESURE_IEM_022_VALUE,MESURE_IEM_023_VALUE,MESURE_IEM_024_VALUE,MESURE_IEM_025_VALUE,MESURE_IEM_026_VALUE,MESURE_IEM_027_VALUE,MESURE_IEM_028_VALUE,MESURE_IEM_029_VALUE,MESURE_IEM_030_VALUE,MESURE_IEM_031_VALUE,MESURE_IEM_032_VALUE,MESURE_IEM_033_VALUE,MESURE_IEM_034_VALUE,MESURE_IEM_035_VALUE,MESURE_IEM_036_VALUE,MESURE_IEM_037_VALUE,MESURE_IEM_038_VALUE,MESURE_IEM_039_VALUE,MESURE_IEM_040_VALUE,MESURE_IEM_041_VALUE,MESURE_IEM_042_VALUE,MESURE_IEM_043_VALUE,MESURE_IEM_044_VALUE,MESURE_IEM_050_VALUE,MESURE_IEM_051_VALUE,MESURE_IEM_052_VALUE
"2","서구(대전)","성인","일반","61","관리자","참가","20240801","M","171.5","68.6","23.6",,"85","136","30.7","31.5",,,"-3.7",,,,,,"23.3","30",,,"178",,,,,,"45.9",,,"90","108","130","165","34.9",,,,,"0.324",,,,,,,
"1","영암","성인","일반","60","관리자","3등급","20240801","F","152.6","52","35.4",,"87","147","22","20.9",,,"12.9",,,,,,"22.3","8",,,"128",,,,,,"42.3",,,,,,,,"140","28.2",,,"0.379",,,,,,,
"1","성동","성인","일반","30","관리자","3등급","20240801","F","158.4","51.2","28.5",,"76","111","17.1","21",,,"20.3",,,,,,"20.4","30",,,"125",,,,,,"41.0",,,,,,,,"114","37.6",,,"0.401",,,,,,,
"1","영암","성인","일반","31","관리자","2등급","20240801","F","164.4","52.8","18.5",,"78","117","25.6","28.1",,,"23.6",,,,,,"19.5","26",,,"173",,,,,,"53.2",,,,,,,,"114","37.7",,,"0.371",,,,,,,
"3","연제","성인","일반","35","관리자","2등급","20240801","M","183.2","88.3","25.6","88","73","132","45.2","56.2",,,"20.6",,,,,,"26.3","46","39",,,,,,,,"63.6",,"38.1",,,,,,,,,,"0.278","0.606",,,,,,
"1","포천","성인","일반","19","관리자","3등급","20240801","M","166.6","63.3","13.3","77","68","115","43","47.4",,,"15.4",,,,,,"22.8","59",,,,,,,,,"74.9",,,,,,,,"143","43.7",,,"0.319","0.642",,,,,,
"1","동해","성인","출장","37","관리자","3등급","20240801","M","173.3","75.6","22.4",,"80","128","61","67.4",,,"5.3",,,,,,"25.2","50",,,,,,,,,"89.2",,,,,,,,"104","42.8",,,"0.383","0.615",,,,,,
"3","제주","성인","일반","40","관리자","참가","20240801","M","177.4","84.4","22.8","91.1","66","132","42.4","43.1",,,"4.5",,,,,,"26.8","44",,,"201",,,,,,"51.1",,,,,,,,"89","42.6",,,"0.310",,,,,,,
"3","제주","성인","일반","38","관리자","3등급","20240801","M","182.2","80.1","16.9","86.2","64","109","43.2","48.4",,,"6.8",,,,,,"24.1","33",,,"229",,,,,,"60.4",,,,,,,,"77","46.2",,,"0.348",,,,,,,
"1","포천","성인","일반","58","관리자","3등급","20240801","F","152","55.1","31.8","80","65","134","16.7","21.5",,,"15.9",,,,,,"23.8","20",,,"97",,,,,,"39.0",,,,,,,,"121","30.0",,,"0.384",,,,,,,
"2","성동","성인","일반","44","관리자","3등급","20240801","M","177.3","75.4","18.9",,"96","147","45.3","48.6",,,"8.4",,,,,,"24.0","33","28",,,,,,,,"64.5",,"36.9",,,,,,,,,,"0.318","0.477",,,,,,
"1","KSPO송파","성인","일반","31","관리자","참가","20240801","F","158.7","61.2","37.7","82.9","50","117","23.3","22.9",,,"8",,,,,,"24.3","6",,"15.80","93",,,,,,"38.1",,,,,,,,"102","36.5",,,,,,,,,,
"4","증평","성인","일반","54","관리자","2등급","20240801","F","162.0","66.6","37.6","87.8","79","147","29","32",,,"19.6",,,,,,"25.4","24",,,,,,,,,"48.0",,,"65","93","132",,"31.0",,,,,"0.391","0.428",,,,,,
"1","서구(대전)","청소년","일반","18","관리자","2등급","20240801","M","171.1","77.9","19.5",,"74","132","45.1","49",,"52","25.9","17.95","0.588","41.592","13","42.190","26.6",,,,,,,,,,"62.9",,,"89","112","129",,"45.9",,,,,,,,,,,,
"2","KSPO송파","성인","일반","21","관리자","3등급","20240801","F","165.5","49.5","19.5","70.0","64","101","23.7","30",,,"14.1",,,,,,"18.1","40",,,"173",,,,,,"60.6",,,,,,,,"142","37.0",,,"0.278",,,,,,,
"2","삼척","성인","일반","56","관리자","2등급","20240801","M","168.2","75.6","30.2",,"62","141","43.1","37.8",,,"9.4",,,,,,"26.7","32",,,,,,,,,"57.0",,,"60","89","108","146","39.0",,,,,"0.159","0.484",,,,,,
"2","양평","성인","일반","27","관리자","1등급","20240801","F","166.9","51.80","19.8","70.3","55","92","30.8","31.1",,,"21.4",,,,,,"18.6","41",,"10.90",,,,,,,"60.0",,,,,,,,"85","42.4",,,,"0.494",,,,,,
"1","창원마산회원","청소년","일반","18","관리자","참가","20240801","M","170.8","73.7","24.3","82","77","133","46.7","46.9",,"39","16.6","18.86","0.516","54.185","6","54.461","25.3",,"30",,,,,,,,"63.6",,"39.2",,,,,,,,,,,,,,,,,
"2","서대문","성인","일반","52","관리자","1등급","20240801","F","160.1","63.7","28.6",,"86","152","30.7","31.4",,,"21.2",,,,,,"24.9","37",,,"174",,,,,,"49.3",,,,,,,,"99","32.5",,,"0.344",,,,,,,
"1","KSPO아산","성인","일반","29","관리자","3등급","20240801","F","175.8","62.2","24.1","66.9","65","106","25.5","30.9",,,"13.1",,,,,,"20.1","48",,,"165",,,,,,"49.7",,,"91","120","153",,"35.6",,,,,"0.331",,,,,,,
"1","마포","어르신","일반","65","관리자","1등급","20240801","M","172.7","64.8","23.9","82","77","129","38.1","43.4",,,"11.5",,,,,,"21.7",,,,,"34",,"156","3.55","15.91","67.0",,,,,,,,,,,,,,,,,,,"43.4"
"1","KSPO아산","성인","일반","27","관리자","참가","20240801","F","174.4","62.8","27.3","71","93","122","24","23.7",,,"4.7",,,,,,"20.6","27","8",,"135",,,,,,"38.2",,"28.7",,,,,,,,,,"0.328",,,,,,,
"1","마포","어르신","일반","68","관리자","2등급","20240801","M","162.1","59.2","24.7","76","88","140","32.4","36.7",,,"8.6",,,,,,"22.5",,,,,"40",,"165","3.46","17.42","62.0",,,,,,,,,,,,,,,,,,,"36.7"
"1","부천","성인","일반","21","관리자","2등급","20240801","M","170.1","71.8","16.9",,"62","136","42.9","49.1",,,"11.7",,,,,,"24.8","54",,,"225",,,,,,"68.4",,,,,,,,"110","46.4",,,"0.293",,,,,,,
"2","서구(광주)","성인","일반","55","관리자","참가","20240801","F","147.9","45.2","23.7","72.3","71","121","23.9","22",,,"3.6",,,,,,"20.7","8","15","14.63","118",,,,,,"52.9",,"32.1",,,,,,,,,,,,,,,,,
"1","연제","성인","일반","42","관리자","참가","20240801","M","176.2","74.5","23.0","90","74","115","33.7","32.6",,,"-7.0",,,,,,"24.0","33",,"11.3","188",,,,,,"45.2",,,,,,,,"113","40.7",,,,,,,,,,
"2","포천","어르신","일반","65","관리자","3등급","20240801","M","153.9","59.5","28.2","81","76","156","28.7","29.7",,,"12.4",,,,,,"25.1",,,,,"21",,"124","4.34","18.16","49.9",,,,,,,,,,,,,,,,,,,"29.7"
"1","부천","성인","일반","26","관리자","2등급","20240801","F","170.4","62.5","24.1",,"66","125","30.4","32.8",,,"26.3",,,,,,"21.5","40",,,"169",,,,,,"52.5",,,,,,,,"125","35.4",,,"0.403",,,,,,,
"46","KSPO송파별관(어르신)","어르신","일반","84","관리자","1등급","20240801","M","160","54.6","21",,"67","157","28.2","26",,,"24",,,,,,"21.3",,,,,"28",,"123","5.77","20.56","51.6",,,,,,,,,,,,,,,,,,,"28.2"
"1","KSPO송파별관(어르신)","어르신","일반","65","관리자","1등급","20240801","M","166","59.7","21.6",,"73","128","40.4","34.4",,,"14.5",,,,,,"21.7",,,,,"38",,"150","3.89","16.38","67.7",,,,,,,,,,,,,,,,,,,"40.4"
"3","광주","성인","일반","23","관리자","참가","20240801","M","170.8","74","21.9",,"75","136","45.6","49.3",,,"11.9",,,,,,"25.4","38","41",,,,,,,,"66.6",,"41.9",,,,,,,,,,"0.333","0.609",,,,,,
"6","삼척","성인","일반","29","관리자","1등급","20240801","F","160.3","57.3","29.7",,"64","119","23.8","28.8",,,"20.0",,,,,,"22.3","37",,,"181",,,,,,"50.3",,,,,,,,"113","36.6",,,"0.285",,,,,,,
"4","광주","성인","일반","23","관리자","참가","20240801","F","165.3","52","29",,"52","102","25.5","27.9",,,"22.6",,,,,,"19.0","19",,"12.09",,,,,,,"53.7",,,"71","101","145",,"38.7",,,,,,"0.426",,,,,,
"1","광주","성인","일반","20","관리자","참가","20240801","M","181.9","81.6","22.6",,"80","149","42","39",,,"8.1",,,,,,"24.7","50","27",,,,,,,,"51.5",,"37.5",,,,,,,,,,"0.386","0.563",,,,,,
"2","동해","성인","출장","30","관리자","참가","20240801","M","182.2","99.5","27.9",,"81","123","57.5","54",,,"10",,,,,,"30.0","43",,,,,,,,,"57.8",,,,,,,,"108","39.3",,,"0.403","0.536",,,,,,
"15","고양","어르신","일반","65","관리자","1등급","20240801","M","169.4","64","14.4",,"89","148","43.6","46.1",,,"20.1",,,,,,"22.3",,,,,"40",,"148","3.80","15.81","72.0",,,,,,,,,,,,,,,,,,,"46.1"
"4","사하","어르신","출장","75","관리자","2등급","20240801","F","153","49.6","34.6",,"68","124","19.6","22.4",,,"23.1",,,,,,"21.2",,,,,"17",,"113","6.8","23.22","45.2",,,,,,,,,,,,,,,,,,,"22.4"
"1","동해","성인","출장","23","관리자","1등급","20240801","M","174","71.3","12",,"81","120","50","57",,,"20.2",,,,,,"23.6","61",,,,,,,,,"79.9",,,,,,,,"93","48.8",,,"0.365","0.704",,,,,,
"1","동해","성인","출장","23","관리자","참가","20240801","M","179.8","70.4","14.8",,"81","125","39","41.7",,,"6.4",,,,,,"21.8","35",,,,,,,,,"59.2",,,,,,,,"96","49.0",,,"0.325","0.588",,,,,,
"3","사하","어르신","출장","67","관리자","참가","20240801","F","153.1","62.3","40",,"75","134","23.3","27.1",,,"11.6",,,,,,"26.6",,,,,"13",,"111","6.6","24.5","43.5",,,,,,,,,,,,,,,,,,,"27.1"
"1","동해","성인","출장","23","관리자","참가","20240801","M","173","79.1","19.3",,"82","121","46.1","47.8",,,"20.9",,,,,,"26.4","35",,,,,,,,,"60.4",,,,,,,,"84","48.4",,,"0.326","0.641",,,,,,
"2","동해","성인","출장","21","관리자","2등급","20240801","M","177.7","76.4","16.2",,"78","123","53.8","61.4",,,"14.5",,,,,,"24.2","49",,,,,,,,,"80.4",,,,,,,,"96","48.0",,,"0.401","0.669",,,,,,
"1","강북","청소년","일반","18","관리자","참가","20240801","F","162.7","63.20","36.1","71","69","133","26.6","24.8",,"20","17.2","23.2","0.408","54.928","24","56.032","23.9",,,,,,,,,,"42.1",,,,,,,,"162","35.9",,,,,,,,,,
"2","강북","성인","일반","64","관리자","2등급","20240801","M","167.1","75.00","29.8","88","74","129","37.9","40.3",,,"8.8",,,,,,"26.9","28",,"13",,,,,,,"53.7",,,,,,,,"98","36.7",,,,"0.435",,,,,,
"2","세종","성인","일반","35","관리자","참가","20240801","M","190.6","82.8","16.8","87.8","66","133","40.9","48.5",,,"-14.2",,,,,,"22.8","47","14","10.98","190",,,,,,"58.6",,"32.9",,,,,,,,,,,,,,,,,
"1","영암","성인","일반","61","관리자","참가","20240801","F","163.6","68.5","33.6",,"96","156","25.4","26.9",,,"4.2",,,,,,"25.6","4",,,,,,,,,"39.3",,,,,,,,"122","27.2",,,"0.495","0.304",,,,,,
"1","서대문","성인","일반","22","관리자","1등급","20240801","F","171.4","59.1","17.1",,"88","121","42","38.9",,,"21.3",,,,,,"20.1","60","53","9.78","219",,,,,,"71.1",,"43.2",,,,,,,,,,,,,,,,,
"4","포항","성인","일반","47","관리자","참가","20240801","F","160.5","79.3","41.2",,"84","137","22.1","24.5",,,"15.6",,,,,,"30.8","26",,,"137",,,,,,"30.9",,,,,,,,"125","26.5",,,"0.261",,,,,,,
"1","남구(울산)","청소년","일반","13","관리자","3등급","20240801","M","152.1","45.7","17.4","63.7","64","116","21.5","11.9","41",,"18.4","19.66","0.540","51.899","21","52.865","19.8",,"43",,,,,,,,"47.0",,"44.2",,,,,,,,,,,,,,,,,
"1","남구(울산)","청소년","일반","13","관리자","2등급","20240801","M","154","40.5","15.1","60.8","62","104","20.4","21.6","80",,"6.3","19.28","0.577","52.828","36","54.484","17.1",,"56",,,,,,,,"53.3",,"48.2",,,,,,,,,,,,,,,,,
"1","KSPO송파","성인","일반","41","관리자","1등급","20240801","F","161.2","60.1","25.9","76.5","86","135","27.7","29",,,"21.2",,,,,,"23.1","31",,"13.66","155",,,,,,"48.3",,,"91","113","129",,"36.4",,,,,,,,,,,,
"3","남구(부산)","성인","일반","25","관리자","2등급","20240801","M","181.8","84.50","20.0","91.3","61","121","52.5","50.4",,,"13.3",,,,,,"25.6","56",,,"225",,,,,,"62.1",,,"91","100","124","144","44.3",,,,,"0.281",,,,,,,
"3","KSPO송파","성인","일반","54","관리자","참가","20240801","F","156","68.2","39.4","89.9","61","133","24.4","27.1",,,"20.6",,,,,,"28.0","10",,,"127",,,,,,"39.7",,,"68","95","118",,"32.7",,,,,"0.423",,,,,,,
"1","포천","성인","일반","60","관리자","1등급","20240801","F","155.2","63.6","33.9","83","92","154","38.1","33.4",,,"21.1",,,,,,"26.4","25","17",,"139",,,,,,"59.9",,"29.7",,,,,,,,,,"0.416",,,,,,,
"2","제주","성인","일반","29","관리자","참가","20240801","M","173.6","90.3","32.1","105.4","87","149","41.7","37",,,"9.4",,,,,,"30.0","38",,,"193",,,,,,"46.2",,,,,,,,"119","39.3",,,"0.313",,,,,,,
"2","사상","성인","일반","24","관리자","참가","20240801","F","169.4","82","42","87.2","81","120","30.1","31.6",,,"23.9",,,,,,"28.6","6","15",,"152",,,,,,"38.5",,"27.8",,,,,,,,,,"0.443",,,,,,,
"2","제주","성인","일반","33","관리자","참가","20240801","M","185","101.5","26.8","107.7","91","147","51.3","57.1",,,"-17",,,,,,"29.7","41",,,"205",,,,,,"56.3",,,,,,,,"104","38.9",,,"0.356",,,,,,,
"1","세종","성인","일반","43","관리자","참가","20240801","M","163.4","69.5","26.6","84.8","89","142","37.4","48.2",,,"-6.1",,,,,,"26.0","30",,,"184",,,,,,"69.4",,,,,,,,"106","41.6",,,"0.377",,,,,,,
"1","사상","성인","일반","25","관리자","3등급","20240801","F","153.4","46.5","26.6","62.4","83","113","24.3","25.9",,,"19.2",,,,,,"19.8","37",,,,,,,,,"55.7",,,,,,,,"133","36.9",,,"0.415","0.416",,,,,,
"2","마포","성인","일반","59","관리자","2등급","20240801","M","159.8","72","30.6","90","79","133","37.4","39.8",,,"22.4",,,,,,"28.2","37","25",,"198",,,,,,"55.3",,"35.8",,,,,,,,,,"0.421",,,,,,,
"5","천안","성인","일반","47","관리자","3등급","20240801","M","176.9","86.4","15.9",,"82","157","54","55",,,"24.2",,,,,,"27.6","56",,,,,,,,,"63.7",,,,,,,,"106","37.9",,,"0.23","0.601",,,,,,
"1","남구(울산)","청소년","일반","14","관리자","2등급","20240801","M","158.2","43.6","5.3","62.7","60","112","24.2","20.4","56",,"7.7","18.4","0.547","48.762","11","49.268","17.4",,"62",,,,,,,,"55.5",,"38.3",,,,,,,,,,,,,,,,,
"5","천안","성인","일반","33","관리자","3등급","20240801","M","174.9","79.5","22.1",,"86","152","49.3","55.3",,,"20.5",,,,,,"26.0","55",,,"230",,,,,,"69.6",,,,,,,,"127","39.6",,,"0.274",,,,,,,
"3","화성","성인","일반","19","관리자","참가","20240801","M","178.7","73.7","14.5",,"80","130","40.2","43.7",,,"20.1",,,,,,"23.1","57","38","10.61","230",,,,,,"59.3",,"41.4",,,,,,,,,,,,,,,,,
"5","화성","성인","일반","22","관리자","1등급","20240801","F","170.1","52.9","32.6",,"88","118","23.9","25.1",,,"20.5",,,,,,"18.3","36",,,,,,,,,"47.4",,,,,,,,"97","41.9",,,"0.31","0.439",,,,,,
"1","KSPO대구","성인","일반","27","관리자","참가","20240801","M","181.3","74.7","14.5","76.7","61","119","46.8","55",,,"-13.8",,,,,,"22.7","43",,"10.7",,,,,,,"73.6",,,,,,,,"106","45.7",,,,"0.569",,,,,,
"1","스포원(금정)","성인","일반","46","관리자","3등급","20240801","F","160.8","57.1","28.6",,"95","162","28.8","29.6",,,"12.3",,,,,,"22.1","17",,,"152",,,,,,"51.8",,,"72","102","123",,"37.0",,,,,"0.368",,,,,,,
"1","수원","성인","일반","19","관리자","3등급","20240801","F","170.5","55.3","24.5","62","77","125","30.2","37.9",,,"19.3",,,,,,"19.0","25",,,"163",,,,,,"68.5",,,,,,,,"119","39.2",,,"0.351",,,,,,,
"1","시흥","성인","일반","45","관리자","참가","20240801","F","156.4","46.9","25.9","64.1","94","117","23.3","25.8",,,"6.1",,,,,,"19.2","37",,,,,,,,,"55.0",,,"70","102","113",,"41.3",,,,,"0.380","0.412",,,,,,
"1","목포","성인","출장","30","관리자","참가","20240801","M","171.1","80.5","25.1","88.8","57","124","46.9","39.1",,,"1.8",,,,,,"27.5","41","40",,"232",,,,,,"58.3",,"40.2",,,,,,,,,,"0.324",,,,,,,
"1","수원","성인","일반","23","관리자","참가","20240801","F","168.1","55.2","33.5","64","52","107","28.7","30.5",,,"10.1",,,,,,"19.5","24",,,,,,,,,"55.3",,,,,,,,"173","31.7",,,"0.447","0.435",,,,,,
"1","수원","성인","일반","19","관리자","참가","20240801","F","167.6","56.8","26.7","66","81","123","28.5","30.3",,,"9.3",,,,,,"20.2","6",,,"155",,,,,,"53.3",,,,,,,,"142","35.8",,,"0.325",,,,,,,
"1","목포","성인","출장","37","관리자","2등급","20240801","M","172.7","78","22.6","87","84","150","46.6","48.6",,,"11.2",,,,,,"26.2","41","41",,"208",,,,,,"62.3",,"40.2",,,,,,,,,,"0.353",,,,,,,
"1","목포","성인","출장","33","관리자","참가","20240801","F","157.4","55.6","37.5","83.1","82","115","19.7","18.5",,,"10.7",,,,,,"22.4","4","7",,"108",,,,,,"35.4",,"29.0",,,,,,,,,,"0.406",,,,,,,
"3","청주","성인","일반","62","관리자","참가","20240801","F","158.6","65.5","36.1","83.3","85","147","20.4","23.7",,,"18.7",,,,,,"26.0","5",,,"108",,,,,,"36.2",,,,,,,,"61","34.7",,,"0.447",,,,,,,
"1","목포","성인","출장","31","관리자","참가","20240801","M","183.1","87","24.3","94.7","84","156","40.7","37.6",,,"9.5",,,,,,"26.0","42","23",,"204",,,,,,"46.8",,"34.9",,,,,,,,,,"0.342",,,,,,,
"1","목포","성인","출장","34","관리자","참가","20240801","M","175.2","66.8","19.9","80.4","74","110","41.2","42.6",,,"8.9",,,,,,"21.8","39","22",,"204",,,,,,"63.8",,"37.5",,,,,,,,,,"0.312",,,,,,,
"3","청주","성인","일반","58","관리자","참가","20240801","F","164.5","66.1","30.8","85.7","83","134","27.4","21.6",,,"8.5",,,,,,"24.4","1",,,"129",,,,,,"41.5",,,,,,,,"104","30.6",,,"0.380",,,,,,,
"1","목포","성인","출장","43","관리자","참가","20240801","M","185.3","84.7","23","95.8","73","136","44.5","47.4",,,"-4.8",,,,,,"24.7","27","20",,"198",,,,,,"56.0",,"33.5",,,,,,,,,,"0.406",,,,,,,
"4","안동","성인","일반","47","관리자","참가","20240801","F","152.8","47.1","30.3","67.5","84","131","25.7","27.3",,,"14",,,,,,"20.2","7","14",,"147",,,,,,"58.0",,"31.9",,,,,,,,,,"0.370",,,,,,,
"1","남구(부산)","성인","일반","26","관리자","3등급","20240801","F","159.2","57.50","30.2","77.6","78","118","21.7","25.4",,,"14.1",,,,,,"22.7","22",,,,,,,,,"44.2",,,"84","100","126",,"39.1",,,,,"0.340","0.490",,,,,,
"1","목포","성인","출장","37","관리자","참가","20240801","M","171.1","76.5","33.7","96.8","112","148","37.4","36.4",,,"20",,,,,,"26.1","20","28",,"217",,,,,,"48.9",,"37.4",,,,,,,,,,"0.302",,,,,,,
"4","성동","성인","일반","23","관리자","3등급","20240801","F","161.4","47.2","26.6",,"66","128","22.5","24",,,"16.1",,,,,,"18.1","28",,,,,,,,,"50.8",,,,,,,,"120","39.5",,,"0.261","0.452",,,,,,
"1","목포","성인","출장","31","관리자","참가","20240801","M","167.6","100.9","34.3","107.6","93","152","46.5","44.6",,,"3.1",,,,,,"35.9","22","15",,"152",,,,,,"46.1",,"31.3",,,,,,,,,,"0.429",,,,,,,
"2","스포원(금정)","청소년","일반","18","관리자","3등급","20240801","M","170.3","66.6","16.9",,"83","123","48.4","44.1","39",,"20","16.26","0.660","41.56","14","42.204","23.0",,"47",,,,,,,,"72.7",,"43.7",,,,,,,,,,,,,,,,,
"1","목포","성인","출장","27","관리자","참가","20240801","F","150.7","54.3","32.7","76.5","82","124","23","28.7",,,"12.8",,,,,,"23.9","21","15",,"165",,,,,,"52.9",,"31.8",,,,,,,,,,"0.418",,,,,,,
"1","목포","성인","출장","29","관리자","참가","20240801","F","160","56.3","29.7","76.2","79","127","24.6","27.4",,,"23.8",,,,,,"22.0","36","15",,"130",,,,,,"48.7",,"31.6",,,,,,,,,,"0.517",,,,,,,
"1","춘천","성인","일반","24","관리자","3등급","20240801","F","165.4","62.2","34.8","80.1","75","104","27.2","30.7",,,"11.9",,,,,,"22.7","32",,,,,,,,,"49.4",,,,,,,,"139","33.7",,,"0.353","0.412",,,,,,
