MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MBER_SEXDSTN_FLAG_CD
"1","KSPO송파(출장A)","유소년","출장","12","관리자","3등급","20250601","F"
"6","KSPO송파(출장A)","성인","출장","44","관리자","참가","20250601","M"
"1","KSPO송파(출장A)","청소년","출장","16","관리자","3등급","20250601","M"
"1","KSPO송파(출장A)","청소년","출장","16","관리자","3등급","20250601","F"
"1","KSPO송파(출장A)","성인","출장","44","관리자","5등급","20250601","M"
"1","KSPO송파(출장A)","청소년","출장","16","관리자","1등급","20250601","F"
"1","KSPO송파(출장A)","성인","출장","44","관리자","5등급","20250601","F"
"1","KSPO송파(출장A)","청소년","출장","16","관리자","2등급","20250601","M"
"1","KSPO송파(출장A)","청소년","출장","16","관리자","2등급","20250601","F"
"1","KSPO송파(출장A)","성인","출장","44","관리자","3등급","20250601","F"
"1","KSPO송파(출장A)","청소년","출장","16","관리자","참가","20250601","F"
"1","KSPO송파(출장A)","청소년","출장","16","관리자","참가","20250601","M"
"1","KSPO송파(출장A)","성인","출장","44","관리자","3등급","20250601","M"
"1","KSPO송파(출장A)","청소년","출장","16","관리자","5등급","20250601","F"
"1","KSPO송파(출장A)","성인","출장","44","관리자","참가","20250601","M"
"1","KSPO송파(출장A)","성인","출장","44","관리자","6등급","20250601","F"
"1","KSPO송파(출장A)","어르신","출장","68","관리자","참가","20250601","F"
"1","KSPO송파(출장A)","유소년","출장","12","관리자","참가","20250601","M"
"1","KSPO송파(출장A)","어르신","출장","68","관리자","5등급","20250601","M"
"1","KSPO송파(출장A)","성인","출장","44","관리자","참가","20250601","F"
"1","KSPO송파(출장A)","유소년","출장","12","관리자","3등급","20250601","M"
"1","KSPO송파(출장A)","청소년","출장","16","관리자","1등급","20250601","M"
"1","KSPO송파(출장A)","성인","출장","44","관리자","6등급","20250601","M"
"1","KSPO송파(출장A)","청소년","출장","16","관리자","5등급","20250601","M"
"1","KSPO송파(출장A)","어르신","출장","68","관리자","참가","20250601","M"
"6","영동","청소년","출장","17","관리자","3등급","20250602","M"
"1","동구(인천)","성인","출장","43","관리자","참가","20250602","M"
"1","영동","청소년","출장","16","관리자","참가","20250602","F"
"5","영동","청소년","출장","18","관리자","참가","20250602","M"
"1","안산","성인","일반","56","관리자","3등급","20250602","F"
"1","순천","성인","일반","30","관리자","2등급","20250602","M"
"1","영동","청소년","출장","15","관리자","5등급","20250602","M"
"1","강릉","성인","일반","19","관리자","3등급","20250602","M"
"1","영동","청소년","출장","17","관리자","3등급","20250602","F"
"1","성동","유소년","출장","11","관리자","참가","20250602","M"
"3","영동","청소년","출장","17","관리자","참가","20250602","M"
"1","서대문","성인","일반","31","관리자","1등급","20250602","M"
"3","영동","청소년","출장","16","관리자","3등급","20250602","F"
"1","성동","유소년","출장","11","관리자","3등급","20250602","F"
"1","동구(광주)","청소년","출장","16","관리자","2등급","20250602","F"
"1","동구(광주)","청소년","출장","16","관리자","2등급","20250602","F"
"1","동구(광주)","청소년","출장","15","관리자","참가","20250602","F"
"5","영동","청소년","출장","18","관리자","2등급","20250602","F"
"2","영동","청소년","출장","16","관리자","참가","20250602","M"
"1","성동","유소년","출장","12","관리자","참가","20250602","F"
"1","동구(광주)","청소년","출장","16","관리자","2등급","20250602","F"
"1","미추홀","청소년","일반","16","관리자","6등급","20250602","M"
"1","동구(광주)","청소년","출장","15","관리자","3등급","20250602","F"
"1","익산","성인","일반","19","관리자","6등급","20250602","M"
"1","동구(광주)","청소년","출장","16","관리자","2등급","20250602","F"
"1","미추홀","청소년","일반","17","관리자","5등급","20250602","M"
