MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MBER_SEXDSTN_FLAG_CD
"1","KSPO송파","성인","일반","29","관리자","참가","20250304","M"
"1","진천","성인","일반","24","관리자","참가","20250304","F"
"2","KSPO송파","성인","일반","23","관리자","참가","20250304","F"
"2","경산","성인","일반","19","관리자","1등급","20250304","M"
"4","미추홀","성인","일반","24","관리자","3등급","20250304","F"
"3","화성","성인","일반","20","관리자","2등급","20250304","M"
"5","중구(서울)","어르신","일반","69","관리자","2등급","20250304","M"
"6","KSPO광주","성인","일반","20","관리자","3등급","20250304","M"
"3","세종","성인","일반","20","관리자","3등급","20250304","M"
"3","KSPO대구","성인","일반","25","관리자","2등급","20250304","F"
"1","진천","성인","일반","20","관리자","참가","20250304","F"
"2","서구(대전)","성인","일반","27","관리자","참가","20250304","M"
"1","의정부","성인","일반","20","관리자","참가","20250304","M"
"1","안동","성인","일반","20","관리자","참가","20250304","M"
"3","사천","성인","일반","24","관리자","2등급","20250304","F"
"1","나주","성인","일반","19","관리자","참가","20250304","M"
"1","광주","성인","일반","64","관리자","참가","20250304","M"
"1","나주","성인","일반","19","관리자","참가","20250304","M"
"1","동구(광주)","성인","일반","24","관리자","참가","20250304","F"
"2","사천","성인","출장","47","관리자","3등급","20250304","F"
"2","원주","성인","일반","25","관리자","참가","20250304","M"
"2","창원마산회원","청소년","일반","18","관리자","참가","20250304","M"
"3","원주","성인","일반","22","관리자","참가","20250304","F"
"1","부천","성인","일반","20","관리자","참가","20250304","M"
"1","남구(울산)","어르신","일반","68","관리자","3등급","20250304","M"
"1","남구(울산)","어르신","일반","65","관리자","3등급","20250304","M"
"1","군산","성인","일반","23","관리자","참가","20250304","M"
"7","동구(광주)","성인","일반","23","관리자","2등급","20250304","F"
"3","광주","성인","일반","20","관리자","1등급","20250304","M"
"1","달서","어르신","일반","65","관리자","2등급","20250304","M"
"5","KSPO대구","성인","일반","25","관리자","3등급","20250304","F"
"1","동해","성인","일반","25","관리자","3등급","20250304","M"
"1","포항","성인","일반","58","관리자","참가","20250304","M"
"1","마포","성인","일반","20","관리자","2등급","20250304","M"
"15","서구(광주)","어르신","일반","69","관리자","2등급","20250304","F"
"25","고양","성인","일반","29","관리자","참가","20250304","M"
"1","서대문","성인","일반","21","관리자","참가","20250304","M"
"2","포천","성인","일반","20","관리자","참가","20250304","M"
"4","성동","성인","일반","25","관리자","3등급","20250304","F"
"1","남구(울산)","성인","일반","64","관리자","참가","20250304","M"
"2","서구(대전)","성인","일반","23","관리자","3등급","20250304","F"
"1","남구(울산)","어르신","일반","66","관리자","3등급","20250304","M"
"1","창원마산회원","성인","일반","60","관리자","1등급","20250304","M"
"1","강릉","성인","일반","20","관리자","1등급","20250304","M"
"6","마포","어르신","일반","70","관리자","1등급","20250304","M"
"1","춘천","성인","일반","21","관리자","참가","20250304","M"
"10","청주","어르신","일반","69","관리자","3등급","20250304","F"
"1","원주","성인","일반","27","관리자","3등급","20250304","M"
"2","익산","성인","일반","20","관리자","참가","20250304","M"
"1","화성","성인","일반","34","관리자","3등급","20250304","M"
"1","경산","성인","일반","20","관리자","3등급","20250304","M"
"4","서구(대전)","성인","일반","23","관리자","3등급","20250304","F"
"1","화성","성인","일반","20","관리자","3등급","20250304","M"
"1","KSPO송파별관(어르신)","어르신","일반","66","관리자","2등급","20250304","M"
"2","사하","성인","일반","30","관리자","1등급","20250304","M"
"2","KSPO광주","성인","일반","26","관리자","참가","20250304","F"
"1","남원","성인","일반","46","관리자","1등급","20250304","F"
"2","남구(울산)","어르신","일반","66","관리자","3등급","20250304","M"
"1","세종","성인","일반","59","관리자","참가","20250304","F"
"1","동작","성인","일반","24","관리자","참가","20250304","F"
"1","서대문","성인","일반","25","관리자","참가","20250304","F"
"1","강북","성인","일반","24","관리자","1등급","20250304","F"
"2","화성","성인","일반","60","관리자","2등급","20250304","M"
"1","서대문","성인","일반","23","관리자","참가","20250304","F"
"1","경산","성인","일반","19","관리자","참가","20250304","M"
"2","경산","성인","일반","23","관리자","참가","20250304","F"
"5","강북","성인","일반","20","관리자","참가","20250304","M"
"1","중구(서울)","성인","일반","32","관리자","참가","20250304","F"
"2","서구(광주)","성인","일반","38","관리자","참가","20250304","F"
"3","중구(서울)","성인","일반","20","관리자","참가","20250304","M"
"2","KSPO아산","청소년","일반","18","관리자","참가","20250304","M"
"1","남원","성인","일반","44","관리자","2등급","20250304","M"
"2","동구(광주)","성인","일반","22","관리자","3등급","20250304","F"
"2","춘천","성인","일반","22","관리자","참가","20250304","F"
"1","창원마산회원","성인","일반","19","관리자","참가","20250304","M"
"1","사상","성인","일반","20","관리자","참가","20250304","M"
"3","동구(인천)","성인","일반","27","관리자","2등급","20250304","F"
"2","성동","성인","일반","53","관리자","3등급","20250304","F"
"1","진천","성인","일반","26","관리자","참가","20250304","M"
"1","익산","성인","일반","27","관리자","참가","20250304","M"
"1","스포원(금정)","성인","일반","22","관리자","참가","20250304","M"
"2","화성","성인","일반","24","관리자","2등급","20250304","F"
"1","동작","성인","일반","35","관리자","참가","20250304","M"
"5","광주","어르신","일반","82","관리자","3등급","20250304","M"
"1","구미","청소년","일반","18","관리자","참가","20250304","M"
"1","KSPO광주","성인","일반","24","관리자","3등급","20250304","F"
"1","서구(대전)","성인","일반","25","관리자","3등급","20250304","F"
"1","포항","성인","일반","42","관리자","참가","20250304","F"
"2","춘천","성인","일반","19","관리자","참가","20250304","M"
"1","KSPO광주","성인","일반","19","관리자","2등급","20250304","M"
"5","김천","성인","일반","25","관리자","3등급","20250304","M"
"2","진천","성인","일반","27","관리자","참가","20250304","M"
"1","김천","성인","일반","23","관리자","3등급","20250304","F"
"1","강북","성인","일반","23","관리자","2등급","20250304","F"
"7","광주","성인","일반","22","관리자","참가","20250304","M"
"2","춘천","성인","일반","19","관리자","참가","20250304","F"
"1","남원","성인","일반","51","관리자","참가","20250304","M"
"2","수원","성인","일반","21","관리자","3등급","20250304","M"
"1","KSPO아산","성인","일반","19","관리자","참가","20250304","M"
"1","KSPO광주","성인","일반","26","관리자","참가","20250304","M"
"2","화성","성인","일반","26","관리자","참가","20250304","M"
"1","사하","성인","일반","26","관리자","참가","20250304","M"
"1","강북","성인","일반","19","관리자","참가","20250304","M"
